[2024-08-04T21:08:44.202+0300][0.005s][info][gc] Using G1
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ParallelGCThreads: 10
[2024-08-04T21:08:44.203+0300][0.007s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T21:08:44.351+0300][0,154s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->6M(256M) 5,539ms
[2024-08-04T21:08:44.371+0300][0,175s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 38M->15M(256M) 9,980ms
[2024-08-04T21:08:44.433+0300][0,236s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 83M->35M(256M) 21,722ms
[2024-08-04T21:08:44.490+0300][0,293s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 108M->54M(256M) 25,964ms
[2024-08-04T21:08:44.565+0300][0,369s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 144M->79M(256M) 35,237ms
[2024-08-04T21:08:44.657+0300][0,460s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 192M->111M(256M) 40,286ms
[2024-08-04T21:08:44.739+0300][0,543s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 216M->147M(256M) 38,990ms
[2024-08-04T21:08:44.793+0300][0,596s][info ][gc] GC(7) Pause Young (Concurrent Start) (G1 Evacuation Pause) 220M->163M(256M) 23,175ms
[2024-08-04T21:08:44.793+0300][0,596s][info ][gc] GC(8) Concurrent Mark Cycle
[2024-08-04T21:08:44.839+0300][0,643s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 226M->177M(256M) 13,341ms
[2024-08-04T21:08:44.873+0300][0,676s][info ][gc] GC(10) Pause Young (Normal) (G1 Humongous Allocation) 217M->187M(256M) 8,970ms
[2024-08-04T21:08:44.886+0300][0,689s][debug][gc] GC(8) Reclaimed 34 empty regions
[2024-08-04T21:08:44.886+0300][0,689s][info ][gc] GC(8) Pause Remark 216M->182M(256M) 0,727ms
[2024-08-04T21:08:44.917+0300][0,721s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 222M->187M(256M) 14,127ms
[2024-08-04T21:08:44.944+0300][0,748s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 233M->197M(256M) 8,672ms
[2024-08-04T21:08:44.946+0300][0,749s][info ][gc] GC(8) Pause Cleanup 201M->201M(256M) 0,118ms
[2024-08-04T21:08:44.947+0300][0,751s][info ][gc] GC(8) Concurrent Mark Cycle 154,066ms
[2024-08-04T21:08:44.970+0300][0,774s][info ][gc] GC(13) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 233M->205M(256M) 10,803ms
[2024-08-04T21:08:44.993+0300][0,796s][info ][gc] GC(14) Pause Young (Mixed) (G1 Evacuation Pause) 234M->211M(256M) 10,928ms
[2024-08-04T21:08:45.011+0300][0,815s][info ][gc] GC(15) Pause Young (Concurrent Start) (G1 Evacuation Pause) 236M->217M(256M) 7,911ms
[2024-08-04T21:08:45.011+0300][0,815s][info ][gc] GC(16) Concurrent Mark Cycle
[2024-08-04T21:08:45.031+0300][0,834s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 237M->221M(256M) 5,224ms
[2024-08-04T21:08:45.046+0300][0,850s][info ][gc] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 238M->225M(256M) 3,762ms
[2024-08-04T21:08:45.057+0300][0,861s][info ][gc] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 238M->228M(256M) 3,224ms
[2024-08-04T21:08:45.068+0300][0,871s][info ][gc] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 239M->231M(256M) 2,722ms
[2024-08-04T21:08:45.077+0300][0,881s][info ][gc] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 241M->233M(256M) 2,494ms
[2024-08-04T21:08:45.087+0300][0,890s][info ][gc] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 243M->235M(256M) 2,637ms
[2024-08-04T21:08:45.096+0300][0,900s][info ][gc] GC(23) Pause Young (Normal) (G1 Evacuation Pause) 245M->237M(256M) 2,422ms
[2024-08-04T21:08:45.105+0300][0,909s][info ][gc] GC(24) Pause Young (Normal) (G1 Evacuation Pause) 247M->239M(256M) 2,532ms
[2024-08-04T21:08:45.115+0300][0,918s][info ][gc] GC(25) Pause Young (Normal) (G1 Evacuation Pause) 249M->242M(256M) 2,525ms
[2024-08-04T21:08:45.124+0300][0,928s][info ][gc] GC(26) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 252M->248M(256M) 2,880ms
[2024-08-04T21:08:45.131+0300][0,935s][info ][gc] GC(27) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 254M->254M(256M) 2,727ms
[2024-08-04T21:08:45.133+0300][0,937s][info ][gc] GC(28) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 255M->254M(256M) 1,250ms
[2024-08-04T21:08:45.134+0300][0,937s][debug][gc] GC(29) Clear Bitmap 0,194ms
[2024-08-04T21:08:45.220+0300][1,024s][info ][gc] GC(29) Pause Full (G1 Compaction Pause) 254M->212M(256M) 86,683ms
[2024-08-04T21:08:45.220+0300][1,024s][info ][gc] GC(16) Concurrent Mark Cycle 208,909ms
[2024-08-04T21:08:45.224+0300][1,027s][info ][gc] GC(30) Pause Young (Concurrent Start) (G1 Humongous Allocation) 217M->213M(256M) 1,529ms
[2024-08-04T21:08:45.224+0300][1,027s][info ][gc] GC(31) Concurrent Mark Cycle
[2024-08-04T21:08:45.226+0300][1,029s][info ][gc] GC(32) Pause Young (Normal) (G1 Humongous Allocation) 213M->213M(256M) 1,691ms
[2024-08-04T21:08:45.226+0300][1,030s][debug][gc] GC(33) Clear Bitmap 0,203ms
[2024-08-04T21:08:45.304+0300][1,107s][info ][gc] GC(33) Pause Full (G1 Compaction Pause) 213M->213M(256M) 78,131ms
[2024-08-04T21:08:45.304+0300][1,108s][debug][gc] GC(34) Clear Bitmap 0,182ms
[2024-08-04T21:08:45.433+0300][1,237s][info ][gc] GC(34) Pause Full (G1 Compaction Pause) 213M->213M(256M) 129,451ms
[2024-08-04T21:08:45.433+0300][1,237s][info ][gc] GC(31) Concurrent Mark Cycle 209,554ms
[2024-08-04T21:08:45.448+0300][1,251s][info ][gc] GC(35) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 255M->255M(256M) 5,562ms
[2024-08-04T21:08:45.518+0300][1,322s][info ][gc] GC(36) Pause Full (G1 Compaction Pause) 255M->226M(256M) 70,306ms
[2024-08-04T21:08:45.525+0300][1,329s][info ][gc] GC(37) Pause Young (Concurrent Start) (G1 Evacuation Pause) 238M->228M(256M) 2,199ms
[2024-08-04T21:08:45.525+0300][1,329s][info ][gc] GC(38) Concurrent Mark Cycle
[2024-08-04T21:08:45.532+0300][1,336s][info ][gc] GC(39) Pause Young (Normal) (G1 Evacuation Pause) 238M->230M(256M) 2,170ms
[2024-08-04T21:08:45.540+0300][1,344s][info ][gc] GC(40) Pause Young (Normal) (G1 Evacuation Pause) 240M->232M(256M) 2,160ms
[2024-08-04T21:08:45.548+0300][1,351s][info ][gc] GC(41) Pause Young (Normal) (G1 Evacuation Pause) 242M->235M(256M) 2,239ms
[2024-08-04T21:08:45.555+0300][1,359s][info ][gc] GC(42) Pause Young (Normal) (G1 Evacuation Pause) 245M->237M(256M) 2,080ms
[2024-08-04T21:08:45.562+0300][1,366s][info ][gc] GC(43) Pause Young (Normal) (G1 Evacuation Pause) 247M->239M(256M) 2,209ms
[2024-08-04T21:08:45.610+0300][1,414s][info ][gc] GC(44) Pause Young (Normal) (G1 Evacuation Pause) 249M->239M(256M) 1,721ms
[2024-08-04T21:08:45.620+0300][1,424s][info ][gc] GC(45) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 249M->248M(256M) 2,788ms
[2024-08-04T21:08:45.623+0300][1,426s][info ][gc] GC(46) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 250M->248M(256M) 1,445ms
[2024-08-04T21:08:45.624+0300][1,428s][info ][gc] GC(47) Pause Young (Normal) (G1 Evacuation Pause) 249M->248M(256M) 1,055ms
[2024-08-04T21:08:45.626+0300][1,430s][info ][gc] GC(48) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 249M->249M(256M) 1,168ms
[2024-08-04T21:08:45.626+0300][1,430s][debug][gc] GC(49) Clear Bitmap 0,154ms
[2024-08-04T21:08:45.643+0300][1,447s][info ][gc] GC(49) Pause Full (G1 Compaction Pause) 249M->41M(256M) 16,760ms
[2024-08-04T21:08:45.643+0300][1,447s][info ][gc] GC(38) Concurrent Mark Cycle 117,989ms
[2024-08-04T21:08:45.721+0300][1,525s][info ][gc] GC(50) Pause Young (Normal) (G1 Evacuation Pause) 191M->71M(256M) 19,332ms
[2024-08-04T21:08:45.796+0300][1,600s][info ][gc] GC(51) Pause Young (Normal) (G1 Evacuation Pause) 191M->96M(256M) 26,906ms
[2024-08-04T21:08:45.862+0300][1,666s][info ][gc] GC(52) Pause Young (Normal) (G1 Evacuation Pause) 202M->118M(256M) 23,993ms
[2024-08-04T21:08:45.918+0300][1,722s][info ][gc] GC(53) Pause Young (Normal) (G1 Evacuation Pause) 209M->137M(256M) 19,850ms
[2024-08-04T21:08:45.972+0300][1,775s][info ][gc] GC(54) Pause Young (Concurrent Start) (G1 Evacuation Pause) 215M->154M(256M) 18,814ms
[2024-08-04T21:08:45.972+0300][1,775s][info ][gc] GC(55) Concurrent Mark Cycle
[2024-08-04T21:08:46.020+0300][1,823s][info ][gc] GC(56) Pause Young (Normal) (G1 Evacuation Pause) 220M->168M(256M) 15,922ms
[2024-08-04T21:08:46.060+0300][1,863s][info ][gc] GC(57) Pause Young (Normal) (G1 Evacuation Pause) 225M->182M(256M) 12,491ms
[2024-08-04T21:08:46.094+0300][1,897s][info ][gc] GC(58) Pause Young (Normal) (G1 Evacuation Pause) 229M->193M(256M) 10,829ms
[2024-08-04T21:08:46.110+0300][1,914s][info ][gc] GC(55) Pause Remark 226M->226M(256M) 0,710ms
[2024-08-04T21:08:46.122+0300][1,925s][info ][gc] GC(59) Pause Young (Normal) (G1 Evacuation Pause) 231M->202M(256M) 9,066ms
[2024-08-04T21:08:46.141+0300][1,945s][info ][gc] GC(60) Pause Young (Normal) (G1 Evacuation Pause) 232M->209M(256M) 7,416ms
[2024-08-04T21:08:46.157+0300][1,961s][info ][gc] GC(61) Pause Young (Normal) (G1 Evacuation Pause) 233M->215M(256M) 5,774ms
[2024-08-04T21:08:46.170+0300][1,974s][info ][gc] GC(62) Pause Young (Normal) (G1 Evacuation Pause) 234M->219M(256M) 4,604ms
